name,interest,University,Advisor,Laboratorie,Collaboration
 Lu Jiang , big data goal solve , xi’an jiaotong university free university of brussels carnegie mellon university , alexander hauptmann teruko mitamura multimedia search rank jun liu b.eng gpa , google ai cloud carnegie mellon university iarpa nist trecvid yahoo research google research youtube microsoft xi’an jiaotong university pdf html , junwei liang thomas leung zhengyuan zhou qi xie linchao zhu alexander hauptmann junting hsieh zelun luo yannis kalantidis jiliang tang deyu meng zhenzhong senmao ye xiaojun chang zhao qian prior knowledge lijia li multimedia search teruko mitamura videos qian zhao yi yang yu wu juan carlos niebles lu jiang alex hauptmann decoupled novel icmr junwei han li chao li feifei zongben xu liangliang cao dingwen zhang shoou 
JUAN GARCIA , investigations improve seismic , university national de san juan university of illinois , ted s. visor , department of civil engineering university of illinois the city planning department fema , garcia 
ROBERT BROADSTONE, conservation government phd , university of carmarthen , f smith , , 
Abi Demir, firm abi interested , university of melbourne nanyang technological university harvard university , , graduate researcher 2012 nanyang technological university ncp ncp origin , yp fan cj su y yang johnson j yan nv berezhnoy currie heterochromatin f wang n korolev y liu l nordenskiold g li d lundberg m miguel 
Akila Arap, akila firm interested , cambridge university university of oxford harvard university , merit fellowship , harvard university cambridge university , science signaling 
Sachi Nabulsi , data sachi applying , stanford university stanford university of oxford harvard university , m.phil axline , matlab  university of oxford matlab stanford university stanford european organisation for nuclear research cern cern stanford university , s nabulsi 
JUANITA DUARTE, modern military history , university of toronto university of alberta , michael faust edward chelin ," university of toronto defence white paper graduate student department of history, university of toronto ", duarte juanita 
Beverly Gilmore, information management data , university of toronto , elizabeth strom , ontario society for medical laboratory ontario institute for studies education university of toronto the canadian society for the study of higher education ontario institute for studies education university of toronto institute for women’s studies gender studies university of toronto equity studies education oise ut sshrc the centre for the study of education and work , m suzin gilmore teaching eds s h tran kingston 
Monir El Halaby, optical wireless channels , university of toronto university of waterloo   , finn ginsberry professors dieter kohlberg finn ginsberry , university of toronto  project master’s department of electrical and computer engineering university of toronto  project vtsl research group department of electrical and computer engineering university of waterloo project: supervisors undergraduate research assistantship department of electrical and computer engineering university of waterloo  project: research b.a. fuentes , ginsberry 
"
Sandeep Mehta
", antibody responses antibodies , university of toronto mcmaster university , ontario   honours bachelor hamilton ," department of immunology university of toronto cangen research institute undergraduate research department of biology, university of toronto  organized ", b h 2008 b h  mehta human retroviruses cutler 
JAIME  SIMONELL, cognitive work analysis ," university of toronto university of waterloo, computer science ", carine mendelsson bachelor ," department of industrial engineering university of toronto research assistant department of computer science university of waterloo visual perception and interface design research assistant department of mathematics, university of waterloo mathematical ", simonell 
Leslie Winters, conducted ethical review big data , mcgill university university of toronto queens university , m.ed settings   james strong biology , language competency program   language planning course , s et j robert winters manson n et l winters vieillex lu jiang alex hauptmann decoupled novel icmr junwei han garcia
